"player","pos","pred_cost","pred_cost2","ppg"
"Mike Thomas","WR",19,19,1.43799230769231
"Leonard Hankerson","WR",12,12,1.42515384615385
"Matt Spaeth","TE",17,17,0.468661538461538
"Matt Asiata","RB",22,22,2.27006153846154
"Keshawn Martin","WR",18,18,1.40088461538462
"Daniel Fells","TE",56,56,0.431453846153846
"Levine Toilolo","TE",31,31,0.4201
"Luke Stocker","TE",41,41,0.415161538461538
"Jared Abbrederis","WR",65,65,1.3645
"Garrett Graham","TE",48,48,0.403192307692308
"Gerald Christian","TE",28,28,0.3899
"Lucky Whitehead","WR",50,50,1.33592307692308
"Derek Carrier","TE",25,25,0.384938461538462
"Brandon Myers","TE",73,73,0.379684615384615
"Ben Koyack","TE",37,37,0.366276923076923
"E.J. Bibbs","TE",36,36,0.362869230769231
"Brandon Bolden","RB",62,62,2.16466923076923
"Jerell Adams","TE",1,1,0.342646153846154
"Andre Johnson","WR",65,65,1.29152307692308
"Matt LaCosse","TE",11,11,0.335746153846154
"Zach Sudfeld","TE",21,21,0.331915384615385
"Cooper Helfet","TE",57,57,0.309876923076923
"Bryan Walters","WR",29,29,1.25313846153846
"Matthew Mulligan","TE",7,7,0.256892307692308
"Stedman Bailey","WR",57,57,1.20370769230769
"MarQueis Gray","TE",37,37,0.245223076923077
"Fitzgerald Toussaint","RB",40,40,2.05217692307692
"Rod Streater","WR",62,62,1.1763
"Kennard Backman","TE",44,44,0.207946153846154
"Thomas Duarte","TE",8,8,0.202738461538462
"Javontee Herndon","WR",74,74,1.1505
"Nic Jacobs","TE",28,28,0.198746153846154
"Cordarrelle Patterson","WR",61,61,1.14673076923077
"Kyle Juszczyk","RB",37,37,2.00377692307692
"David Johnson","TE",25,25,0.184684615384615
"Asante Cleveland","TE",51,51,0.184446153846154
"Justin Hunter","WR",38,38,1.10290769230769
"Jerome Cunningham","TE",11,11,0.145538461538462
"Jonathan Grimes","RB",39,39,1.94626923076923
"Sean McGrath","TE",54,54,0.115776923076923
"Nick Boyle","TE",59,59,0.108853846153846
"Kolby Listenbee","WR",34,34,1.0492
"Devin Hester","WR",18,18,1.04413076923077
"Antonio Andrews","RB",57,57,1.89953076923077
"Brandon Williams","TE",62,62,0.0765461538461538
"Phillip Supernaw","TE",40,40,0.0730538461538461
"Fozzy Whittaker","RB",47,47,1.87755384615385
"Geoff Swaim","TE",29,29,0.0454461538461538
"Marc Mariani","WR",41,41,0.992530769230769
"DeAnthony Thomas","WR",27,27,0.989476923076923
"Nick OLeary","TE",43,43,0.0100076923076923
"Randall Telfer","TE",36,36,0.00214615384615385
"Fred Davis","TE",50,50,0
"John Carlson","TE",51,51,0
"James Casey","TE",68,68,0
"Chase Coffman","TE",72,72,0
"John Phillips","TE",33,33,0
"Bear Pascoe","TE",85,85,0
"Anthony McCoy","TE",52,52,0
"Tony Moeaki","TE",37,37,0
"Michael Palmer","TE",64,64,0
"Scott Chandler","TE",76,76,0
"Clark Harris","TE",31,31,0
"Owen Daniels","TE",36,36,0
"Richard Gordon","TE",40,40,0
"David Ausberry","TE",65,65,0
"Alex Smith","TE",38,38,0
"Zach Miller","TE",59,59,0
"Orson Charles","TE",54,54,0
"Chase Ford","TE",33,33,0
"Adrien Robinson","TE",39,39,0
"Brandon Bostick","TE",14,14,0
"Michael Williams","TE",29,29,0
"Chris Pantale","TE",30,30,0
"Joseph Fauria","TE",17,17,0
"Nick Kasa","TE",77,77,0
"Ifeanyi Momah","TE",34,34,0
"Brian Leonhardt","TE",26,26,0
"Tim Wright","TE",50,50,0
"Arthur Lynch","TE",38,38,0
"Blake Annen","TE",62,62,0
"Marcel Jensen","TE",19,19,0
"Gator Hoskins","TE",52,52,0
"Xavier Grimble","TE",1,1,0
"RaShaun Allen","TE",48,48,0
"A.J. Derby","TE",20,20,0
"Rory Anderson","TE",64,64,0
"Beau Gardner","TE",40,40,0
"Khari Lee","TE",31,31,0
"Gabe Holmes","TE",35,35,0
"Wes Saxton","TE",42,42,0
"Mitchell Henry","TE",49,49,0
"Brian Parker","TE",36,36,0
"Rico Gathers","TE",50,50,0
"Jeremy Butler","WR",70,70,0.906323076923077
"Brandon Tate","WR",54,54,0.897246153846154
"Adam Thielen","WR",19,19,0.831761538461539
"Devin Street","WR",2,2,0.816707692307692
"Jamize Olawale","RB",14,14,1.66207692307692
"Taiwan Jones","RB",59,59,1.63962307692308
"Deonte Thompson","WR",46,46,0.761069230769231
"Demarcus Robinson","WR",18,18,0.746476923076923
"Donteea Dye","WR",59,59,0.741553846153846
"Zach Line","RB",67,67,1.60368461538462
"Rashad Ross","WR",49,49,0.7225
"Griff Whalen","WR",51,51,0.7216
"Marcus Easley","WR",43,43,0.714007692307692
"Charone Peake","WR",24,24,0.702138461538462
"Wes Welker","WR",46,46,0.664307692307692
"Jeremy Ross","WR",28,28,0.659707692307692
"Jonathan Krause","WR",3,3,0.656123076923077
"Denard Robinson","RB",53,53,1.51908461538462
"Marquise Goodwin","WR",65,65,0.648930769230769
"Corey Fuller","WR",76,76,0.626407692307692
"Moritz Boehringer","WR",45,45,0.598461538461538
"Kenny Lawler","WR",29,29,0.596453846153846
"DeVier Posey","WR",71,71,0.586046153846154
"Eric Weems","WR",36,36,0.583561538461538
"Myles White","WR",69,69,0.574084615384615
"Tyreek Hill","WR",41,41,0.569307692307692
"Keith Mumphery","WR",36,36,0.546369230769231
"Rex Burkhead","RB",1,1,1.41273846153846
"Kaelin Clay","WR",53,53,0.542715384615385
"Josh Boyce","WR",50,50,0.525407692307692
"Bradley Marquez","WR",63,63,0.511830769230769
"Andre Williams","RB",80,80,1.3647
"Cameron Meredith","WR",53,53,0.4665
"Jason Avant","WR",33,33,0.462938461538462
"Lance Dunbar","RB",9,9,1.30225384615385
"Andre Caldwell","WR",59,59,0.433530769230769
"Kevin Smith","WR",39,39,0.427246153846154
"Jordan Payton","WR",34,34,0.414146153846154
"Michael Campanaro","WR",7,7,0.407769230769231
"Terron Ward","RB",42,42,1.25477692307692
"Jacquizz Rodgers","RB",58,58,1.25360769230769
"Stephen Hill","WR",56,56,0.359653846153846
"Donald Brown","RB",75,75,1.22242307692308
"Brenton Bersin","WR",35,35,0.348223076923077
"Marquez North","WR",69,69,0.325423076923077
"Walt Powell","WR",55,55,0.320253846153846
"Frankie Hammond","WR",43,43,0.309746153846154
"Reggie Bush","RB",63,63,1.17725384615385
"Greg Salas","WR",47,47,0.3034
"Mark Sanchez","QB",24,24,11.3473923076923
"Kevin Norwood","WR",68,68,0.281523076923077
"Patrick DiMarco","RB",11,11,1.13673076923077
"Kerwynn Williams","RB",14,14,1.12336923076923
"Travaris Cadet","RB",8,8,1.11856923076923
"Chris Matthews","WR",44,44,0.249738461538462
"Connor Barth","K",67,67,2.69908461538462
"Bruce Miller","RB",59,59,1.10543076923077
"Marlon Moore","WR",24,24,0.232961538461538
"DuJuan Harris","RB",26,26,1.09736923076923
"Darren Waller","WR",43,43,0.222307692307692
"Russell Shepard","WR",18,18,0.222084615384615
"Geremy Davis","WR",66,66,0.217769230769231
"Kelvin Taylor","RB",15,15,1.07716923076923
"Trevor Davis","WR",68,68,0.208638461538462
"Hakeem Nicks","WR",49,49,0.205715384615385
"Roger Lewis","WR",31,31,0.198376923076923
"Jordan Todman","RB",54,54,1.06586153846154
"Jakeem Grant","WR",23,23,0.188853846153846
"Kasen Williams","WR",32,32,0.186423076923077
"Aaron Burbridge","WR",21,21,0.185730769230769
"Eric Rogers","WR",2,2,0.173053846153846
"Cody Core","WR",8,8,0.167138461538462
"Orleans Darkwa","RB",45,45,1.01038461538462
"Jonas Gray","RB",28,28,1.0005
"DeAndrew White","WR",22,22,0.125092307692308
"Randy Bullock","K",11,11,2.57425384615385
"Eli Rogers","WR",27,27,0.106546153846154
